1.000000 0.785650 3.453540 0.084387 2.470784 -1.589718
2.000000 1.135557 5.637730 -0.383965 2.927311 -2.057643
3.000000 1.069820 6.344664 -0.757891 2.659314 -2.510754
4.000000 0.668064 5.870660 -1.069824 1.956629 -2.590171
5.000000 0.075737 4.686917 -1.250027 1.221872 -2.459219
6.000000 -0.573325 3.200104 -1.321408 0.590796 -2.231136
7.000000 -1.180212 1.723348 -1.302976 0.131679 -1.967543
8.000000 -1.689730 0.435782 -1.225739 -0.164547 -1.704659
9.000000 -2.081946 -0.587479 -1.117216 -0.333262 -1.460650
10.000000 -2.360276 -1.345125 -0.995732 -0.409731 -1.244874
11.000000 -2.540666 -1.870664 -0.874273 -0.427082 -1.058611
12.000000 -2.643301 -2.212018 -0.760096 -0.409508 -0.900373
13.000000 -2.687812 -2.416192 -0.656881 -0.373949 -0.767030
14.000000 -2.690898 -2.523273 -0.565806 -0.331040 -0.655077
15.000000 -2.665645 -2.564305 -0.486662 -0.287050 -0.561162
16.000000 -2.621746 -2.561909 -0.418515 -0.245372 -0.482268
17.000000 -2.566092 -2.531855 -0.360135 -0.207558 -0.415843
18.000000 -2.503440 -2.484793 -0.310236 -0.174185 -0.359725
19.000000 -2.437002 -2.427737 -0.267608 -0.145178 -0.312166
20.000000 -2.368914 -2.365235 -0.231169 -0.120258 -0.271705
21.000000 -2.300578 -2.300200 -0.199980 -0.098961 -0.237170
22.000000 -2.232905 -2.234479 -0.173239 -0.080851 -0.207588
23.000000 -2.166474 -2.169228 -0.150270 -0.065479 -0.182166
24.000000 -2.101649 -2.105167 -0.130502 -0.052477 -0.160244
25.000000 -2.038645 -2.042724 -0.113456 -0.041467 -0.141289
26.000000 -1.977581 -1.982146 -0.098731 -0.032176 -0.124846
27.000000 -1.918511 -1.923560 -0.085987 -0.024333 -0.110545
28.000000 -1.861444 -1.867015 -0.074939 -0.017728 -0.098074
29.000000 -1.806361 -1.812511 -0.065346 -0.012178 -0.087170
30.000000 -1.753221 -1.760013 -0.057003 -0.007531 -0.077613
31.000000 -1.701973 -1.709468 -0.049736 -0.003654 -0.069217
32.000000 -1.652558 -1.660812 -0.043399 -0.000440 -0.061825
33.000000 -1.604912 -1.613973 -0.037864 0.002205 -0.055304
34.000000 -1.558968 -1.568874 -0.033024 0.004361 -0.049539
35.000000 -1.514661 -1.525441 -0.028787 0.006096 -0.044433
36.000000 -1.471924 -1.483598 -0.025073 0.007469 -0.039903
37.000000 -1.430693 -1.443272 -0.021815 0.008535 -0.035878
38.000000 -1.390905 -1.404394 -0.018955 0.009338 -0.032296
39.000000 -1.352500 -1.366894 -0.016441 0.009918 -0.029103
40.000000 -1.315419 -1.330710 -0.014230 0.010313 -0.026255
41.000000 -1.279607 -1.295779 -0.012285 0.010554 -0.023709
42.000000 -1.245010 -1.262046 -0.010572 0.010668 -0.021432
43.000000 -1.211576 -1.229454 -0.009064 0.010680 -0.019393
44.000000 -1.179258 -1.197952 -0.007735 0.010613 -0.017565
