0.000000 0.000000 0.000000 0.000000
0.010000 0.000112 0.000197 -0.004900
0.020000 0.000003 0.000073 -0.000196
0.030000 -0.000158 0.000102 -0.000509
0.040000 -0.000319 0.000213 -0.001543
0.050000 -0.000527 0.000395 -0.002655
0.060000 -0.000807 0.000635 -0.004011
0.070000 -0.001156 0.000909 -0.005577
0.080000 -0.001570 0.001227 -0.007399
0.090000 -0.002042 0.001585 -0.009447
0.100000 -0.002571 0.001990 -0.011743
0.110000 -0.003157 0.002444 -0.014311
0.120000 -0.003800 0.002947 -0.017138
0.130000 -0.004501 0.003493 -0.020196
0.140000 -0.005260 0.004083 -0.023479
0.150000 -0.006074 0.004714 -0.026978
0.160000 -0.006943 0.005388 -0.030699
0.170000 -0.007868 0.006105 -0.034649
0.180000 -0.008843 0.006864 -0.038820
0.190000 -0.009871 0.007664 -0.043205
0.200000 -0.010950 0.008505 -0.047793
0.210000 -0.012081 0.009384 -0.052579
0.220000 -0.013260 0.010302 -0.057560
0.230000 -0.014491 0.011258 -0.062740
0.240000 -0.015768 0.012252 -0.068117
0.250000 -0.017093 0.013284 -0.073685
0.260000 -0.018465 0.014353 -0.079436
0.270000 -0.019883 0.015458 -0.085365
0.280000 -0.021346 0.016596 -0.091469
0.290000 -0.022854 0.017770 -0.097748
0.300000 -0.024405 0.018979 -0.104203
0.310000 -0.026000 0.020222 -0.110827
0.320000 -0.027637 0.021498 -0.117617
0.330000 -0.029316 0.022808 -0.124567
0.340000 -0.031037 0.024147 -0.131675
0.350000 -0.032798 0.025520 -0.138938
0.360000 -0.034599 0.026924 -0.146358
0.370000 -0.036439 0.028358 -0.153930
0.380000 -0.038318 0.029824 -0.161652
0.390000 -0.040235 0.031319 -0.169517
0.400000 -0.042189 0.032844 -0.177524
0.410000 -0.044181 0.034397 -0.185672
0.420000 -0.046210 0.035979 -0.193959
0.430000 -0.048274 0.037589 -0.202383
0.440000 -0.050374 0.039227 -0.210942
0.450000 -0.052508 0.040893 -0.219632
0.460000 -0.054677 0.042585 -0.228449
0.470000 -0.056879 0.044304 -0.237393
0.480000 -0.059115 0.046049 -0.246462
0.490000 -0.061384 0.047820 -0.255655
0.500000 -0.063685 0.049617 -0.264970
